"","Departamento_residency","Rate","Colombia_rate","Ranking","TOP_10"
"1","San Andres",4.17910447761194,30.776412124508,33,"No"
"2","Caldas",10.4838382609401,30.776412124508,32,"No"
"3","Santander",10.9781030549053,30.776412124508,31,"No"
"4","Risaralda",13.9801068570101,30.776412124508,30,"No"
"5","Bolivar",14.8383217944824,30.776412124508,29,"No"
"6","Quindio",15.2960831631706,30.776412124508,28,"No"
"7","Cordoba",19.3305082701447,30.776412124508,27,"No"
"8","Sucre",20.3930819844529,30.776412124508,26,"No"
"9","Cauca",21.2712712712713,30.776412124508,25,"No"
"10","Cundinamarca",23.271352443655,30.776412124508,24,"No"
"11","Atlantico",23.3057088703985,30.776412124508,23,"No"
"12","Valle",23.6908993792938,30.776412124508,22,"No"
"13","Nariño",23.8495434515968,30.776412124508,21,"No"
"14","Norte Santander",26.4761105784596,30.776412124508,20,"No"
"15","Caqueta",26.7905588714053,30.776412124508,19,"No"
"16","Antioquia",27.5878644670506,30.776412124508,18,"No"
"17","Tolima",27.9311917308472,30.776412124508,17,"No"
"18","Bogota",32.9835373472928,30.776412124508,16,"No"
"19","Cesar",33.1084748391099,30.776412124508,15,"No"
"20","Choco",33.48095659876,30.776412124508,14,"No"
"21","Meta",36.7879343727708,30.776412124508,13,"No"
"22","Magdalena",39.5198984744354,30.776412124508,12,"No"
"23","Huila",42.5114047408917,30.776412124508,11,"No"
"24","Boyaca",47.7962457620111,30.776412124508,10,"Yes"
"25","Amazonas",54.8564965361233,30.776412124508,9,"Yes"
"26","Putumayo",56.137656941559,30.776412124508,8,"Yes"
"27","Arauca",57.8374247779157,30.776412124508,7,"Yes"
"28","Casanare",59.452345029052,30.776412124508,6,"Yes"
"29","Vichada",73.1324544883867,30.776412124508,5,"Yes"
"30","Guainia",74.3859649122807,30.776412124508,4,"Yes"
"31","Guajira",120.372650414512,30.776412124508,3,"Yes"
"32","Guaviare",144.192256341789,30.776412124508,2,"Yes"
"33","Vaupes",154.088050314465,30.776412124508,1,"Yes"
