"Departamento_residency","Rate","Colombia_rate","Ranking","TOP_10"
"San Andres",4.18,31,33,"No"
"Caldas",10.48,31,32,"No"
"Santander",10.98,31,31,"No"
"Risaralda",13.98,31,30,"No"
"Bolivar",14.84,31,29,"No"
"Quindio",15.3,31,28,"No"
"Cordoba",19.33,31,27,"No"
"Sucre",20.39,31,26,"No"
"Cauca",21.27,31,25,"No"
"Cundinamarca",23.27,31,24,"No"
"Atlantico",23.31,31,23,"No"
"Valle",23.69,31,22,"No"
"Nariño",23.85,31,21,"No"
"Norte Santander",26.48,31,20,"No"
"Caqueta",26.79,31,19,"No"
"Antioquia",27.59,31,18,"No"
"Tolima",27.93,31,17,"No"
"Bogota",32.98,31,16,"No"
"Cesar",33.11,31,15,"No"
"Choco",33.48,31,14,"No"
"Meta",36.79,31,13,"No"
"Magdalena",39.52,31,12,"No"
"Huila",42.51,31,11,"No"
"Boyaca",47.8,31,10,"Yes"
"Amazonas",54.86,31,9,"Yes"
"Putumayo",56.14,31,8,"Yes"
"Arauca",57.84,31,7,"Yes"
"Casanare",59.45,31,6,"Yes"
"Vichada",73.13,31,5,"Yes"
"Guainia",74.39,31,4,"Yes"
"Guajira",120.37,31,3,"Yes"
"Guaviare",144.19,31,2,"Yes"
"Vaupes",154.09,31,1,"Yes"
